title,timesCited,year,percentNonCS,numAuths
A Flexible Infrastructure for Multilevel Language Engineering,126,2009,0.0,3
The “Physics” of Notations: Toward a Scientific Basis for Constructing Visual Notations in Software Engineering,,2009,20.0,1
Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring,21,2009,40.0,3
Engineering of Framework-Specific Modeling Languages,70,2009,0.0,3
A Model-Based Approach to Families of Embedded Domain-Specific Languages,53,2009,0.0,2
FAML: A Generic Metamodel for MAS Development,163,2009,0.0,4
"Software Dependencies, Work Dependencies, and Their Impact on Failures",259,2009,0.0,4
Combining Perceptions and Prescriptions in Requirements Engineering Process Assessment: An Industrial Case Study,45,2009,0.0,3
Examining the Potentially Confounding Effect of Class Size on the Associations between Object-Oriented Metrics and Change-Proneness,100,2009,9.09090909090909,3
Impact of Budget and Schedule Pressure on Software Development Cycle Time and Effort,95,2009,0.0,2
An Integrative Economic Optimization Approach to Systems Development Risk Management,13,2009,0.0,2
Scalable and Effective Test Generation for Role-Based Access Control Systems,42,2009,0.0,4
Specifying and Validating Data-Aware Temporal Web Service Properties,50,2009,0.0,3
A Systematic Survey of Program Comprehension through Dynamic Analysis,,2009,3.57142857142857,5
Using Stochastic State Classes in Quantitative Evaluation of Dense-Time Reactive Systems,67,2009,0.0,3
Visualizing Co-Change Information with the Evolution Radar,95,2009,0.0,3
Recomputing Coverage Information to Assist Regression Testing,63,2009,0.0,2
How Software Developers Use Tagging to Support Reminding and Refinding,63,2009,0.0,6
Common Trends in Software Fault and Failure Data,131,2009,0.0,2
A Data Mining Approach for Detecting Higher-Level Clones in Software,129,2009,0.0,2
An Efficient and Scalable Approach to Correct Class Model Refinement,11,2009,0.0,3
The Impact of Design and Code Reviews on Software Quality: An Empirical Study Based on PSP Data,119,2009,16.6666666666667,2
Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques,37,2009,10.0,3
Power-Law Distributions of Component Size in General Software Systems,34,2009,0.0,1
Software Architecture Reconstruction: A Process-Oriented Taxonomy,,2009,3.44827586206897,2
Automatic Extraction of Heap Reference Properties in Object-Oriented Programs,6,2009,0.0,2
CHARMY: A Framework for Designing and Verifying Architectural Specifications,73,2009,0.0,3
Identification of Move Method Refactoring Opportunities,256,2009,0.0,2
The Impact of Lessons-Learned Sessions on Effort Estimation and Uncertainty Assessments,83,2009,0.0,2
Synthesis of Partial Behavior Models from Properties and Scenarios,126,2009,0.0,3
Variability and Reproducibility in Software Engineering: A Study of Four Companies that Developed the Same System,78,2009,40.0,3
What Types of Defects Are Really Discovered in Code Reviews?,134,2009,0.0,2
Enhanced Modeling and Solution of Layered Queueing Networks,193,2009,0.0,5
CoMoM: Efficient Class-Oriented Evaluation of Multiclass Performance Models,,2009,0.0,1
State-Density Functions over DBM Domains in the Analysis of Non-Markovian Models,40,2009,0.0,3
Automated Trace Analysis of Discrete-Event System Models,42,2009,0.0,2
Model Checking Probabilistic and Stochastic Extensions of the π-Calculus,,2009,0.0,4
Model Checking Timed and Stochastic Properties with CSL^{TA},98,2009,0.0,3
Counterexample Generation in Probabilistic Model Checking,115,2009,0.0,3
Linear and Branching System Metrics,77,2009,0.0,3
Compositional Dependability Evaluation for STATEMATE,49,2009,0.0,5
An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules,115,2009,0.0,4
Atomicity Analysis of Service Composition across Organizations,40,2009,0.0,4
Carving and Replaying Differential Unit Test Cases from System Test Cases,47,2009,0.0,4
Compositional Control of IP Media,26,2009,0.0,2
Engineering Privacy,352,2009,11.1111111111111,2
Linking Model-Driven Development and Software Architecture: A Case Study,69,2009,20.0,4
Mutation Operators for Spreadsheets,73,2009,0.0,2
Optimized Resource Allocation for Software Release Planning,58,2009,0.0,2
Predicting Project Velocity in XP Using a Learning Dynamic Bayesian Network Model,69,2009,0.0,4
A Systematic Review of the Application and Empirical Investigation of Search-Based Test Case Generation,,2010,0.0,4
Efficient Software Verification: Statistical Testing Using Automated Search,59,2010,0.0,2
A Genetic Algorithm-Based Stress Test Requirements Generator Tool and Its Empirical Evaluation,25,2010,0.0,1
"Interactive, Evolutionary Search in Upstream Object-Oriented Class Design",85,2010,0.0,3
Solving the Class Responsibility Assignment Problem in Object-Oriented Analysis with Multi-Objective Genetic Algorithms,107,2010,0.0,3
ASCENT: An Algorithmic Technique for Designing Hardware and Software in Tandem,17,2010,0.0,3
