name
"Colin Atkinson"
"Matthias Gutheil"
"Bastian Kennel"
"Daniel Moody"
"Nicholas A. Kraft"
"Edward B. Duffy"
"Brian A. Malloy"
"Michał Antkiewicz"
"Krzysztof Czarnecki"
"Matthew Stephan"
"Jesus Sanchez Cuadrado"
"Jesus Garcia Molina"
"Ghassan Beydoun"
"Graham Low"
"Brian Henderson-Sellers"
"Haralambos Mouratidis"
"Marcelo Cataldo"
"Audris Mockus"
"Jeffrey A. Roberts"
"James D. Herbsleb"
"Nannette P. Napier"
"Lars Mathiassen"
"Roy D. Johnson"
"Yuming Zhou"
"Hareton Leung"
"Baowen Xu"
"Ning Nan"
"Donald E. Harter"
"Michel Benaroch"
"James Goldstein"
"Ammar Masood"
"Rafae Bhatti"
"Arif Ghafoor"
"Aditya P. Mathur"
"Sylvain Halle"
"Roger Villemaire"
"Omar Cherkaoui"
"Bas Cornelissen"
"Andy Zaidman"
"Arie van Deursen"
"Leon Moonen"
"Rainer Koschke"
"Enrico Vicario"
"Luigi Sassoli"
"Laura Carnevali"
"Marco D'Ambros"
"Michele Lanza"
"Mircea Lungu"
"Pavan Kumar Chittimalli"
"Mary Jean Harrold"
"Margaret-Anne Storey"
"Jody Ryall"
"Janice Singer"
"Del Myers"
"Li-Te Cheng"
"Michael Muller"
"Maggie Hamill"
"Katerina Goseva-Popstojanova"
"Hamid Abdul Basit"
"Stan Jarzabek"
"Wuwei Shen"
"Kun Wang"
"Alexander Egyed"
"Chris F. Kemerer"
"Mark C. Paulk"
"Sira Vegas"
"Natalia Juristo"
"Victor R. Basili"
"Les Hatton"
"Stephane Ducasse"
"Damien Pollet"
"Brian Demsky"
"Martin Rinard"
"Patrizio Pelliccione"
"Paola Inverardi"
"Henry Muccini"
"Nikolaos Tsantalis"
"Alexander Chatzigeorgiou"
"Magne Jørgensen"
"Tanja M. Gruschke"
"Sebastian Uchitel"
"Greg Brunet"
"Marsha Chechik"
"Bente C.D. Anda"
"Dag I.K. Sjøberg"
"Mika V. Mäntylä"
"Casper Lassenius"
"Greg Franks"
"Tariq Al-Omari"
"Murray Woodside"
"Olivia Das"
"Salem Derisavi"
"Giuliano Casale"
"Leonardo Grassi"
"Peter Kemper"
"Carsten Tepper"
"Gethin Norman"
