author,article
"Colin Atkinson","A Flexible Infrastructure for Multilevel Language Engineering"
"Matthias Gutheil","A Flexible Infrastructure for Multilevel Language Engineering"
"Bastian Kennel","A Flexible Infrastructure for Multilevel Language Engineering"
"Daniel Moody","The “Physics” of Notations: Toward a Scientific Basis for Constructing Visual Notations in Software Engineering"
"Nicholas A. Kraft","Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring"
"Edward B. Duffy","Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring"
"Brian A. Malloy","Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring"
"Michał Antkiewicz","Engineering of Framework-Specific Modeling Languages"
"Krzysztof Czarnecki","Engineering of Framework-Specific Modeling Languages"
"Matthew Stephan","Engineering of Framework-Specific Modeling Languages"
"Jesus Sanchez Cuadrado","A Model-Based Approach to Families of Embedded Domain-Specific Languages"
"Jesus Garcia Molina","A Model-Based Approach to Families of Embedded Domain-Specific Languages"
"Ghassan Beydoun","FAML: A Generic Metamodel for MAS Development"
"Graham Low","FAML: A Generic Metamodel for MAS Development"
"Brian Henderson-Sellers","FAML: A Generic Metamodel for MAS Development"
"Haralambos Mouratidis","FAML: A Generic Metamodel for MAS Development"
"Marcelo Cataldo","Software Dependencies, Work Dependencies, and Their Impact on Failures"
"Audris Mockus","Software Dependencies, Work Dependencies, and Their Impact on Failures"
"Jeffrey A. Roberts","Software Dependencies, Work Dependencies, and Their Impact on Failures"
"James D. Herbsleb","Software Dependencies, Work Dependencies, and Their Impact on Failures"
"Nannette P. Napier","Combining Perceptions and Prescriptions in Requirements Engineering Process Assessment: An Industrial Case Study"
"Lars Mathiassen","Combining Perceptions and Prescriptions in Requirements Engineering Process Assessment: An Industrial Case Study"
"Roy D. Johnson","Combining Perceptions and Prescriptions in Requirements Engineering Process Assessment: An Industrial Case Study"
"Yuming Zhou","Examining the Potentially Confounding Effect of Class Size on the Associations between Object-Oriented Metrics and Change-Proneness"
"Hareton Leung","Examining the Potentially Confounding Effect of Class Size on the Associations between Object-Oriented Metrics and Change-Proneness"
"Baowen Xu","Examining the Potentially Confounding Effect of Class Size on the Associations between Object-Oriented Metrics and Change-Proneness"
"Ning Nan","Impact of Budget and Schedule Pressure on Software Development Cycle Time and Effort"
"Donald E. Harter","Impact of Budget and Schedule Pressure on Software Development Cycle Time and Effort"
"Michel Benaroch","An Integrative Economic Optimization Approach to Systems Development Risk Management"
"James Goldstein","An Integrative Economic Optimization Approach to Systems Development Risk Management"
"Ammar Masood","Scalable and Effective Test Generation for Role-Based Access Control Systems"
"Rafae Bhatti","Scalable and Effective Test Generation for Role-Based Access Control Systems"
"Arif Ghafoor","Scalable and Effective Test Generation for Role-Based Access Control Systems"
"Aditya P. Mathur","Scalable and Effective Test Generation for Role-Based Access Control Systems"
"Sylvain Halle","Specifying and Validating Data-Aware Temporal Web Service Properties"
"Roger Villemaire","Specifying and Validating Data-Aware Temporal Web Service Properties"
"Omar Cherkaoui","Specifying and Validating Data-Aware Temporal Web Service Properties"
"Bas Cornelissen","A Systematic Survey of Program Comprehension through Dynamic Analysis"
"Andy Zaidman","A Systematic Survey of Program Comprehension through Dynamic Analysis"
"Arie van Deursen","A Systematic Survey of Program Comprehension through Dynamic Analysis"
"Leon Moonen","A Systematic Survey of Program Comprehension through Dynamic Analysis"
"Rainer Koschke","A Systematic Survey of Program Comprehension through Dynamic Analysis"
"Enrico Vicario","Using Stochastic State Classes in Quantitative Evaluation of Dense-Time Reactive Systems"
"Luigi Sassoli","Using Stochastic State Classes in Quantitative Evaluation of Dense-Time Reactive Systems"
"Laura Carnevali","Using Stochastic State Classes in Quantitative Evaluation of Dense-Time Reactive Systems"
"Marco D'Ambros","Visualizing Co-Change Information with the Evolution Radar"
"Michele Lanza","Visualizing Co-Change Information with the Evolution Radar"
"Mircea Lungu","Visualizing Co-Change Information with the Evolution Radar"
"Pavan Kumar Chittimalli","Recomputing Coverage Information to Assist Regression Testing"
"Mary Jean Harrold","Recomputing Coverage Information to Assist Regression Testing"
"Margaret-Anne Storey","How Software Developers Use Tagging to Support Reminding and Refinding"
"Jody Ryall","How Software Developers Use Tagging to Support Reminding and Refinding"
"Janice Singer","How Software Developers Use Tagging to Support Reminding and Refinding"
"Del Myers","How Software Developers Use Tagging to Support Reminding and Refinding"
"Li-Te Cheng","How Software Developers Use Tagging to Support Reminding and Refinding"
"Michael Muller","How Software Developers Use Tagging to Support Reminding and Refinding"
"Maggie Hamill","Common Trends in Software Fault and Failure Data"
"Katerina Goseva-Popstojanova","Common Trends in Software Fault and Failure Data"
"Hamid Abdul Basit","A Data Mining Approach for Detecting Higher-Level Clones in Software"
"Stan Jarzabek","A Data Mining Approach for Detecting Higher-Level Clones in Software"
"Wuwei Shen","An Efficient and Scalable Approach to Correct Class Model Refinement"
"Kun Wang","An Efficient and Scalable Approach to Correct Class Model Refinement"
"Alexander Egyed","An Efficient and Scalable Approach to Correct Class Model Refinement"
"Chris F. Kemerer","The Impact of Design and Code Reviews on Software Quality: An Empirical Study Based on PSP Data"
"Mark C. Paulk","The Impact of Design and Code Reviews on Software Quality: An Empirical Study Based on PSP Data"
"Sira Vegas","Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques"
"Natalia Juristo","Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques"
"Victor R. Basili","Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques"
"Les Hatton","Power-Law Distributions of Component Size in General Software Systems"
"Stephane Ducasse","Software Architecture Reconstruction: A Process-Oriented Taxonomy"
"Damien Pollet","Software Architecture Reconstruction: A Process-Oriented Taxonomy"
"Brian Demsky","Automatic Extraction of Heap Reference Properties in Object-Oriented Programs"
"Martin Rinard","Automatic Extraction of Heap Reference Properties in Object-Oriented Programs"
"Patrizio Pelliccione","CHARMY: A Framework for Designing and Verifying Architectural Specifications"
"Paola Inverardi","CHARMY: A Framework for Designing and Verifying Architectural Specifications"
"Henry Muccini","CHARMY: A Framework for Designing and Verifying Architectural Specifications"
"Nikolaos Tsantalis","Identification of Move Method Refactoring Opportunities"
"Alexander Chatzigeorgiou","Identification of Move Method Refactoring Opportunities"
"Magne Jørgensen","The Impact of Lessons-Learned Sessions on Effort Estimation and Uncertainty Assessments"
"Tanja M. Gruschke","The Impact of Lessons-Learned Sessions on Effort Estimation and Uncertainty Assessments"
