title|citation|isCS
The EUSES spreadsheet corpus: a shared resource for supporting experimentation with spreadsheet dependability mechanisms, Proceedings of the first workshop on End-user software engineering|Marc Fisher , Gregg Rothermel, The EUSES spreadsheet corpus: a shared resource for supporting experimentation with spreadsheet dependability mechanisms, Proceedings of the first workshop on End-user software engineering, p.1-5, May 21-21, 2005, St. Louis, Missouri  [doi>10.1145/1083231.1083242]|1
Manifesto for agile software development. Last visited|Beck, K., Beedle, M., van Bennekum, A., Cockburn, A., Cunningham, W., Fowler, M., Grenning, J., Highsmith, J., Hunt, A., Je↵ries, R., Kern, J., Marick, B., Martin, R. C., Mellor, S., Schwaber, K., Sutherland, J., and Thomas, D. Manifesto for agile software development. Last visited: May 15, 2013. http://agilemanifesto.org/principles.html, 2001.|1
Tutorial in biostatistics multivariable prognostic models: Issues in developing models evaluting assumptions and adequacy and measuring and reducing errors|"F. E. Harrell, K. L. Lee, D. B. Mark, ""Tutorial in biostatistics multivariable prognostic models: Issues in developing models evaluting assumptions and adequacy and measuring and reducing errors"", Statist. Med., vol. 15, pp. 361-387, 1996."|1
Techniques and Tools for Analyzing and Understanding Android Applications|L. Xu. Techniques and Tools for Analyzing and Understanding Android Applications. PhD thesis, University of California Davis, 2013.|1
Executive perceptions of the top 10 soft skills needed in today's workplace|"M. Robles, 2012, ""Executive perceptions of the top 10 soft skills needed in today's workplace,"" Business Communication Quarterly, October 8, 2012."|1
Source-level proof reconstruction for interactive theorem proving|Lawrence C. Paulson and Kong Woei Susanto. 2007. Source-level proof reconstruction for interactive theorem proving. In Theorem Proving in Higher Order Logics, Klaus Schneider and Jens Brandt (Eds.). Springer, Berlin, 232--245.|1
Hype: An algorithm for fast hypervolume-based many-objective optimization|Johannes Bader , Eckart Zitzler, Hype: An algorithm for fast hypervolume-based many-objective optimization, Evolutionary Computation, v.19 n.1, p.45-76, Spring 2011  [doi>10.1162/EVCO_a_00009]|1
"De Meuter, ""Ambient-oriented programming in Ambienttalk"|"J. Dedecker, T. Van Cutsem, S. Mostinckx, T. D’Hondt, W. De Meuter, ""Ambient-oriented programming in Ambienttalk"", Proc. Eur. Conf. Object-Oriented Program., pp. 230-254, 2006."|1
Bug report networks: Varieties, strategies, and impacts in a f/oss development community|"R. J. Sandusky, L. Gasser, R. J. S, U. L. Gasser, and G. Ripoche, ""Bug report networks: Varieties, strategies, and impacts in a f/oss development community,"" in International Workshop on Mining Software Repositories, 2004, pp. 80-84."|1
Automated comparisons of ambiguity in privacy policies and the impact of regulation|J. R. Reidenberg, J. Bhatia, T. D. Breaux, and T. B. Norton. Automated comparisons of ambiguity in privacy policies and the impact of regulation. Journal of Legal Studies, 2016.|1
