Title,Citation
Was my contribution fairly reviewed?: a framework to study the perception of fairness in modern code reviews,2
A Baseline Model for Software Effort Estimation,45
A Classification Framework for Software Component Models,276
A Comparative Study of Software Model Checkers as Unit Testing Tools: An Industrial Case Study,36
A Comparative Study to Benchmark Cross-Project Defect Prediction Approaches,28
A Comparison of Program Comprehension Strategies by Blind and Sighted Programmers,3
A Comparison of Six UML-Based Languages for Software Process Modeling,108
A Comparison of Tabular Expression-Based Testing Strategies,10
A Compiler for Multimodal Scenarios: Transforming LSCs into AspectJ,21
A Component Model for Model Transformations,45
A Comprehensive Approach to Naming and Accessibility in Refactoring Java Programs,24
A Continuous ASM Modelling Approach to Pacemaker Sensing,9
A Controlled Experiment for Evaluating the Impact of Coupling on the Maintainability of Service-Oriented Software,53
A Controlled Experiment for Program Comprehension through Trace Visualization,119
A Cooperative Parallel Search-Based Software Engineering Approach for Code-Smells Detection,45
A Data Mining Approach for Detecting Higher-Level Clones in Software,129
A Developer Centered Bug Prediction Model,27
A Dissection of the Test-Driven Development Process: Does It Really Matter to Test-First or to Test-Last?,35
A Dynamic Slicing Technique for UML Architectural Models,42
A Feature-Based Classification of Model Repair Approaches,22
A Flexible Infrastructure for Multilevel Language Engineering,126
A Flowchart Language for Quantum Programming,18
A Formal Specification and Verification Framework for Timed Security Protocols,4
A Framework for Programming Robust Context-Aware Applications,58
A Game-Theoretic Foundation for the Maximum Software Resilience against Dense Errors,5
A General Software Defect-Proneness Prediction Framework,273
"A General Testability Theory: Classes, Properties, Complexity, and Testing Reductions",20
A Generative Programming Framework for Context-Aware CSCW Applications,17
A Genetic Algorithm-Based Stress Test Requirements Generator Tool and Its Empirical Evaluation,25
A Large-Scale Evaluation of Automated Unit Test Generation Using EvoSuite,81
A Learning-Based Framework for Engineering Feature-Oriented Self-Adaptive Software Systems,71
A Lightweight System for Detecting and Tolerating Concurrency Bugs,6
A Logic-Based Approach for the Verification of UML Timed Models,0
A Machine Learning Approach to Software Requirements Prioritization,92
A Methodology for Exposing Risk in Achieving Emergent System Properties,5
